11900110 0035 N15W74 B            5864 DKO  6 10 300 9001 4.4 9001 4.3 580 3LEAR
11900110 0116 N15W79 B            5864 EAO  2 15  60 9001 4.1 9001 4.3 874 2CULG
11891230 1133 S36E78 A            5865 HA   1  2  60 9001 5.7 9001 6.4 598 2SVTO
11891230 1250 S36E78 A            5865 HS   1  2 120 9001 5.8 9001 6.4 657 3RAMY
11891230 1330 S38E78 A            5865 HA   1  2  40 9001 5.9 9001 6.4 581 3LEAR
11891230 1646 S37E78 A            5865 HS   1  2  60 9001 6.0 9001 6.4 454 2BOUL
11891230 1845 S37E73 A            5865 HS   1  4 120 9001 5.7 9001 6.4 621 3PALE
11891230 2130 S37E71 A            5865 HS   1  2  80 9001 5.6 9001 6.4 648 3HOLL
11891231 0250 S38E67 A            5865 HS   1  2  60 9001 5.5 9001 6.4 581 3LEAR
11891231 0807 S37E68 A            5865 HS   1  2  80 9001 5.8 9001 6.4 598 3SVTO
11891231 1550 S37E69 B            5865 CSO  2 10 110 9001 6.2 9001 6.4 454 2BOUL
11891231 1715 S38E66 B            5865 CSO  2 11 100 9001 6.0 9001 6.4 648 4HOLL
11891231 1930 S38E69 B            5865 CAO  2 12 130 9001 6.4 9001 6.4 621 2PALE
11900101 0105 S38E62 B            5865 CSO  3 13  80 9001 6.0 9001 6.4 581 3LEAR
11900101 1356 S37E59 B            5865 EAO  3 13 140 9001 6.3 9001 6.4 657 3RAMY
11900101 1610 S38E56 B            5865 ESO  2 13 140 9001 6.2 9001 6.4 648 4HOLL
11900101 1700 S37E57 B            5865 CSO  3 17 120 9001 6.3 9001 6.4 454 3BOUL
11900101 1921 S38E57 B            5865 CSO  2 16 100 9001 6.4 9001 6.4 621 3PALE
11900102 0013 S37E50 B            5865 EAO  4 14 140 9001 6.0 9001 6.4 581 3LEAR
11900102 0140 S35E54 B            5865 CAO  6 13  70 9001 6.4 9001 6.4 875 3CULG
11900102 1329 S37E48 B            5865 EAO  4 15 210 9001 6.4 9001 6.4 657 3RAMY
11900102 1545 S38E46 B            5865 ESO  6 13 130 9001 6.4 9001 6.4 648 3HOLL
11900102 1630 S36E46 B            5865 CSO  4 13  60 9001 6.4 9001 6.4 454 2BOUL
11900102 2235 S38E43 B            5865 ESO  5 14 110 9001 6.4 9001 6.4 621 2PALE
11900103 0015 S37E41 B            5865 ESO  5 14 100 9001 6.3 9001 6.4 581 2LEAR
11900103 1329 S37E33 B            5865 EAO  7 14 150 9001 6.2 9001 6.4 659 3RAMY
11900103 1515 S36E33 B            5865 EAO  4 14  90 9001 6.3 9001 6.4 648 3HOLL
11900103 1720 S36E33 B            5865 CSO  4 14  80 9001 6.4 9001 6.4 454 3BOUL
11900103 1805 S37E31 B            5865 FAO  3 16 130 9001 6.2 9001 6.4 621 3PALE
11900104 0035 S37E29 B            5865 EHO  3 14 100 9001 6.4 9001 6.4 581 2LEAR
11900104 0908 S37E25 B            5865 ESO  5 14  80 9001 6.4 9001 6.4 598 3SVTO
11900104 1415 S37E22 B            5865 EAO  2 14 120 9001 6.4 9001 6.4 657 3RAMY
11900104 1545 S36E26 B            5865 EAO  2 14 140 9001 6.7 9001 6.4 454 2BOUL
11900104 1655 S37E20 B            5865 CSO  6 14 100 9001 6.3 9001 6.4 648 4HOLL
11900104 1911 S38E20 B            5865 CAO  3 15  80 9001 6.4 9001 6.4 621 3PALE
11900105 1005 S37E12 B            5865 CSO  4 14 100 9001 6.4 9001 6.4 598 3SVTO
11900105 1530 S36E10 B            5865 EAO  3 14 100 9001 6.4 9001 6.4 657 3RAMY
11900105 1550 S36E13 B            5865 CAO  3 14  80 9001 6.7 9001 6.4 454 3BOUL
11900105 1752 S37E07 B            5865 ESO  9 15 100 9001 6.3 9001 6.4 648 3HOLL
11900105 1906 S38E09 B            5865 CSO  7 15  90 9001 6.5 9001 6.4 621 3PALE
11900106 0037 S38E05 B            5865 ESO  8 14 130 9001 6.4 9001 6.4 581 3LEAR
11900106 0745 S36E01 B            5865 DSO  5 15 120 9001 6.4 9001 6.4 598 4SVTO
11900106 1245 S36W02 B            5865 EAO  5 14 130 9001 6.4 9001 6.4 657 3RAMY
11900106 1655 S36W04 B            5865 CSO  3 13  50 9001 6.4 9001 6.4 454 2BOUL
11900106 1930 S37W04 B            5865 CSO  4 13  80 9001 6.5 9001 6.4 621 3PALE
11900107 0255 S37W09 B            5865 CSO  6 18  60 9001 6.4 9001 6.4 875 1CULG
11900107 0925 S37W13 B            5865 ESO  3 14  40 9001 6.3 9001 6.4 598 2SVTO
11900107 1435 S38W16 B            5865 CAO 11 16  80 9001 6.3 9001 6.4 657 3RAMY
11900107 1600 S37W17 B            5865 CSO 16 17 100 9001 6.3 9001 6.4 648 3HOLL
11900107 1706 S36W15 B            5865 CSO  7 14  50 9001 6.5 9001 6.4 454 2BOUL
11900109 1547 S36W47 A            5865 HA   1  2  80 9001 5.9 9001 6.4 454 1BOUL
11900109 1820 S37W48 A            5865 HA   1  2  70 9001 5.9 9001 6.4 621 2PALE
11900110 0035 S37W45 B            5865 CSO  3 13  60 9001 6.4 9001 6.4 581 3LEAR
11900110 0116 S36W46 B            5865 CSO  6 17  30 9001 6.4 9001 6.4 875 2CULG
11900110 1439 S36W50 B            5865 BXO  4 10 170 9001 6.6 9001 6.4 657 3RAMY
11900110 1730 S36W53 B            5865 BXO  4 11  20 9001 6.5 9001 6.4     1HOLL
11900110 2000 S37W54 B            5865 BXO  4 12  10 9001 6.5 9001 6.4 621 3PALE
